Gene	Exp0
c1_AC004922.1	0.668972
c1_AC004923.4	0.366939
c1_AC004943.2	0.387704
c1_AC004951.1	0.384391
c1_AC004982.2	0.193809
c1_AC005005.3	0.407756
c1_AC005034.3	0.304098
c1_AC005076.1	0.449851
c1_AC005220.1	0.102277
c1_AC005229.4	0.280834
c1_AC005261.1	0.44071
c1_AC005261.3	0.262391
c1_AC005277.2	0.446649
c1_AC005329.2	0.539662
c1_AC005332.7	0.404467
c1_AC005476.2	0.738909
c1_AC005537.1	0.56846
c1_AC005695.1	0
c1_AC005726.1	0.545094
c1_AC005790.1	0.623597
c1_AC005837.1	0.34261
c1_AC005920.1	0.207557
c1_AC005921.2	0.327859
c1_AC006012.1	0.351625
c1_AC006064.3	0.538027
c1_AC006064.4	0.508821
c1_AC006111.3	0.511947
c1_AC006252.1	0.394183
c1_AC006305.1	0.457713
c1_AC006333.2	0.400666
c1_AC006372.1	0.769764
c1_AC006449.6	0.401224
c1_AC006942.1	0.28775
c1_AC007038.1	0.238473
c1_AC007114.1	0.322838
c1_AC007128.1	0.934787
c1_AC007228.2	0.449531
c1_AC007336.1	0.073973
c1_AC007388.1	0.418687
c1_AC007389.5	0.408165
c1_AC007405.3	0.362351
c1_AC007448.3	0.376138
c1_AC007541.1	0.209553
c1_AC007557.3	0.606002
c1_AC007563.1	0.42609
c1_AC007611.1	0.83733
c1_AC007613.1	0.416327
c1_AC007686.3	0.140905
c1_AC007773.1	0.600278
c1_AC007786.1	0.87498
c1_AC007878.1	0.267534
c1_AC007920.2	0.635086
c1_AC007938.3	0.416918
c1_AC007950.2	0.05315
c1_AC008014.1	0.317927
c1_AC008060.1	0.427959
c1_AC008147.1	0.904267
c1_AC008267.5	0.674115
c1_AC008443.5	0.57272
c1_AC008467.1	0.51124
c1_AC008608.2	0.293891
c1_AC008622.2	0.624653
c1_AC008637.1	0.448435
c1_AC008741.2	0.31258
c1_AC008752.2	0.071453
c1_AC008771.1	0.179835
c1_AC008914.1	0.317795
c1_AC008915.2	0.586968
c1_AC008946.1	0.599114
c1_AC008966.1	0.208805
c1_AC008972.2	0.490193
c1_AC009041.2	0.5401
c1_AC009053.2	0.163611
c1_AC009061.2	0.224677
c1_AC009110.1	0.58607
c1_AC009113.1	0.307643
c1_AC009120.3	0.431404
c1_AC009159.3	0.082343
c1_AC009271.1	0.443002
c1_AC009309.1	0.376375
c1_AC009336.2	0.436991
c1_AC009403.1	0.583455
c1_AC009404.1	0.453435
c1_AC009501.1	0.428111
c1_AC009506.1	0.500571
c1_AC009560.1	0.226489
c1_AC009630.1	0.096256
c1_AC009630.2	0.760587
c1_AC009654.1	0.258664
c1_AC009720.1	0.376125
c1_AC009779.2	0.303349
c1_AC009902.2	0.291793
c1_AC009948.1	0.236859
c1_AC009955.3	0.199272
c1_AC009962.1	0.329296
c1_AC010201.1	0.325027
c1_AC010226.1	0.401526
c1_AC010273.1	0.390342
c1_AC010422.2	0.309211
c1_AC010425.1	0.378425
c1_AC010531.6	0.464883
c1_AC010536.1	0.08595
c1_AC010618.3	0.477999
c1_AC010642.2	0.624431
c1_AC010654.1	0.150227
c1_AC010735.2	0
c1_AC010761.1	0.449244
c1_AC010857.1	0.396354
c1_AC010883.1	0.548911
c1_AC010894.2	0.587862
c1_AC010894.3	0.514596
c1_AC010969.2	0.271829
c1_AC010997.4	0.309148
c1_AC010997.5	0.613162
c1_AC011447.3	0.579083
c1_AC011450.1	0.485109
c1_AC011498.4	0.827626
c1_AC011498.6	0.671048
c1_AC011611.4	0.249587
c1_AC011632.1	0.881957
c1_AC011773.4	0.348561
c1_AC011921.1	0.53718
c1_AC011997.1	0.512507
c1_AC012306.2	0.540955
c1_AC012360.3	0.367607
c1_AC012368.1	0.753977
c1_AC012377.1	0.572043
c1_AC012447.1	0.415671
c1_AC012557.2	0.223104
c1_AC012640.1	0.534228
c1_AC012640.2	0.290301
c1_AC013271.1	0.941445
c1_AC013394.1	0.585134
c1_AC013652.1	0.638884
c1_AC015689.1	0.383476
c1_AC015802.6	0.324286
c1_AC015813.1	0.378698
c1_AC015813.2	0.449484
c1_AC015813.3	0.654924
c1_AC015908.2	0.713293
c1_AC015922.4	0.307545
c1_AC015969.1	0.393802
c1_AC015982.1	0.436797
c1_AC016065.1	0.455907
c1_AC016394.1	0.439335
c1_AC016588.2	0.376281
c1_AC016590.3	0.719254
c1_AC016629.2	0.409474
c1_AC016705.2	0.392276
c1_AC016708.1	0.266619
c1_AC016831.1	0.461511
c1_AC016876.1	0.279214
c1_AC017033.1	0.550188
c1_AC017071.1	0.370829
c1_AC017083.1	0.439885
c1_AC017100.1	0.263615
c1_AC017104.3	0.504461
c1_AC018529.1	0.070908
c1_AC018638.6	0.158272
c1_AC018638.7	0.132161
c1_AC018645.2	0.369771
c1_AC018647.1	0.249731
c1_AC018647.2	0.246062
c1_AC018742.1	0
c1_AC018797.2	0.329231
c1_AC018816.1	1.02791
c1_AC019069.1	0.807968
c1_AC019205.1	0.341815
c1_AC020637.1	0.592973
c1_AC020915.3	0.274972
c1_AC020915.5	0.432174
c1_AC020916.1	0.966666
c1_AC021016.3	0.775742
c1_AC021054.1	0.333974
c1_AC021087.1	0.38987
c1_AC021097.1	0.391314
c1_AC021504.1	0.896526
c1_AC021683.2	0.558785
c1_AC021683.3	0.447536
c1_AC021739.2	0.424895
c1_AC022031.1	0.644438
c1_AC022098.1	0.99897
c1_AC022146.2	0.476797
c1_AC022167.2	0.410306
c1_AC023157.3	0.410142
c1_AC023355.1	0.384157
c1_AC023481.1	0.185126
c1_AC023510.2	0.377175
c1_AC023908.3	0.375532
c1_AC024257.3	0.417584
c1_AC024257.4	0.626481
c1_AC024270.2	0.555387
c1_AC024475.1	0.599445
c1_AC024581.1	0.452085
c1_AC024941.2	0.894021
c1_AC025031.4	0.382343
c1_AC025159.1	0.646183
c1_AC025164.1	1.14884
c1_AC025171.2	0
c1_AC025181.2	0.439259
c1_AC025423.1	0.6826
c1_AC025423.4	0.422913
c1_AC026202.2	0.485271
c1_AC026250.1	0.256923
c1_AC026471.1	0.227522
c1_AC026801.2	0.126004
c1_AC027020.2	0.197463
c1_AC027031.2	0.376038
c1_AC027097.1	0.396847
c1_AC027237.3	0.733408
c1_AC027307.2	0.600459
c1_AC027607.1	0.721208
c1_AC027644.3	0.674782
c1_AC034195.1	0.39972
c1_AC034243.1	0.640921
c1_AC036176.1	0.328021
c1_AC037487.2	0.402228
c1_AC040169.1	0.211655
c1_AC044849.1	0.408817
c1_AC048341.1	0.542257
c1_AC051619.5	0.415895
c1_AC055811.3	0.10617
c1_AC058791.1	0.487943
c1_AC060780.1	0.403484
c1_AC061975.7	0.65898
c1_AC061992.1	0.510122
c1_AC062017.1	0.532156
c1_AC062029.1	0.277187
c1_AC064807.1	0.395642
c1_AC067735.1	0.415954
c1_AC067852.2	0.336454
c1_AC068057.1	0.556733
c1_AC068491.3	0.425606
c1_AC068888.1	0.366147
c1_AC068987.5	0.310943
c1_AC069234.2	0.384999
c1_AC069277.1	0.566977
c1_AC069281.1	0.445216
c1_AC069503.2	0.348363
c1_AC072061.1	0.326654
c1_AC073133.2	0.500042
c1_AC073335.2	0.262189
c1_AC073389.1	0.297681
c1_AC073569.1	0.564982
c1_AC073592.1	0.15192
c1_AC073611.1	0.254861
c1_AC073641.1	0.401875
c1_AC073655.1	0.173714
c1_AC073896.2	0.519106
c1_AC074032.1	0.334544
c1_AC074117.1	0.236401
c1_AC074135.1	0.345368
c1_AC078846.1	0.382123
c1_AC078883.1	0.457302
c1_AC079328.2	0.599006
c1_AC079354.1	0.576359
c1_AC079807.1	0.413823
c1_AC079921.2	0.235183
c1_AC083798.2	0.351111
c1_AC083841.1	0.424643
c1_AC083843.3	0.408966
c1_AC083880.1	0.525392
c1_AC084018.1	0.717257
c1_AC084033.3	0.834642
c1_AC084757.3	0.128582
c1_AC084782.1	0.429057
c1_AC084782.3	0.262897
c1_AC087071.1	0.459959
c1_AC087289.4	0.424666
c1_AC087500.1	0.339742
c1_AC087623.3	0.208868
c1_AC089983.1	0.384207
c1_AC090001.1	0.558909
c1_AC090114.2	0.366354
c1_AC090152.1	0.329631
c1_AC090204.1	0.935033
c1_AC090409.1	0.653913
c1_AC090510.1	0.25101
c1_AC090617.3	0.378751
c1_AC090739.1	0.292885
c1_AC090772.3	0.349775
c1_AC090825.1	0.375763
c1_AC090921.1	0.169967
c1_AC090970.2	0.520582
c1_AC091057.2	0.555615
c1_AC091057.3	0.485599
c1_AC091138.1	0.481549
c1_AC091271.1	0.357895
c1_AC091729.3	0.6258
c1_AC092040.1	0.107275
c1_AC092069.1	0.421779
c1_AC092112.1	0.528359
c1_AC092123.1	0.227554
c1_AC092140.2	0.373353
c1_AC092164.1	0.566437
c1_AC092171.3	0.229623
c1_AC092198.1	0.659076
c1_AC092279.1	0.397151
c1_AC092287.1	0.503319
c1_AC092667.1	0.366863
c1_AC092683.1	0.313947
c1_AC092687.3	0.657791
c1_AC092691.1	0.025577
c1_AC092718.1	0.130944
c1_AC092745.1	0.426806
c1_AC092802.1	0.103751
c1_AC092807.3	0.29498
c1_AC092910.3	0.303545
c1_AC093157.1	0.402552
c1_AC093249.6	0.336929
c1_AC093323.1	0.499992
c1_AC093673.1	0.517011
c1_AC093677.2	0.357099
c1_AC093799.1	0.478382
c1_AC093827.4	0.486652
c1_AC093901.1	0.631552
c1_AC095033.1	0.512755
c1_AC095060.1	0.407256
c1_AC096733.2	0.142446
c1_AC097103.2	0.72198
c1_AC097376.2	0.362309
c1_AC097534.1	0.647943
c1_AC097534.2	0.491852
c1_AC097634.1	0.450403
c1_AC097634.3	0.581865
c1_AC097652.1	0
c1_AC097724.1	0.419565
c1_AC098484.3	0.485388
c1_AC098487.1	0.2418
c1_AC098818.2	0.818626
c1_AC098820.3	0.462113
c1_AC098864.1	0.118451
c1_AC099518.5	0.305838
c1_AC099754.1	0
c1_AC099778.1	0.508116
c1_AC100793.2	0.253171
c1_AC100800.1	0.356239
c1_AC100830.1	0.468113
c1_AC103563.7	0.437852
c1_AC103591.3	0.254165
c1_AC103702.2	0.797667
c1_AC103736.1	0.457297
c1_AC103957.2	0.452697
c1_AC104041.1	0.297941
c1_AC104170.2	0.670761
c1_AC104316.2	0.422955
c1_AC104389.4	0.498021
c1_AC104458.1	0.092018
c1_AC104532.2	0.244341
c1_AC104590.1	0
c1_AC104596.1	0.658647
c1_AC104695.2	0.790379
c1_AC104695.3	0.239211
c1_AC104825.1	0.091641
c1_AC104986.2	0.426509
c1_AC105020.1	0.472529
c1_AC105094.2	0.40626
c1_AC105277.1	0.610835
c1_AC105446.1	0.260597
c1_AC105460.2	0.497564
c1_AC105942.1	0.777781
c1_AC106047.1	0.935909
c1_AC106795.2	0.067635
c1_AC106798.1	0.529815
c1_AC106799.3	0.46969
c1_AC106869.1	0.511971
c1_AC106897.1	0.484141
c1_AC106900.2	0.946441
c1_AC107464.3	0.547645
c1_AC107959.2	0.426462
c1_AC107959.4	0.479414
c1_AC108062.1	0
c1_AC108463.3	0.462066
c1_AC108488.1	0.561472
c1_AC108863.1	0.524892
c1_AC108866.1	0.210704
c1_AC109322.1	0.240245
c1_AC110285.2	0.434873
c1_AC110285.6	0.390148
c1_AC110769.2	0.69743
c1_AC112220.4	0
c1_AC112250.2	0.724122
c1_AC112484.1	0
c1_AC112484.3	0.267318
c1_AC113194.1	0.406182
c1_AC113349.1	0.348284
c1_AC113349.2	0.214268
c1_AC113404.1	0.406594
c1_AC114490.3	0.45669
c1_AC114803.1	0.482884
c1_AC116049.2	1.03957
c1_AC116366.1	0.706922
c1_AC117402.1	0.449187
c1_AC117457.1	0
c1_AC118549.1	0.585495
c1_AC119674.2	0.537545
c1_AC120053.1	0.253731
c1_AC124066.1	0.310513
c1_AC124068.2	0.27817
c1_AC124254.1	0.455636
c1_AC124319.2	0.239338
c1_AC126175.1	0.613107
c1_AC126773.2	0.388297
c1_AC127070.1	0.317509
c1_AC129507.2	0.556904
c1_AC129507.4	0.575872
c1_AC131097.2	0.550515
c1_AC131532.1	0.479571
c1_AC131971.1	0.452135
c1_AC133550.2	0.383944
c1_AC133794.1	0.428227
c1_AC136475.1	0.531161
c1_AC137630.1	0.152174
c1_AC137767.1	0.526998
c1_AC137932.1	0.239489
c1_AC137932.3	0.270862
c1_AC138150.1	0.2605
c1_AC138207.2	0.518167
c1_AC139530.1	0.295638
c1_AC139749.1	0.393364
c1_AC139887.2	0.342887
c1_AC142472.1	0.226272
c1_AC145124.1	0.267889
c1_AC145207.5	0.254747
c1_AC145207.6	0.984634
c1_AC146944.4	0.413353
c1_AC174065.1	0.646928
c1_AC226118.1	0.329914
c1_AC233723.1	0.255569
c1_AC239585.2	0.78913
c1_AC239799.2	0.699863
c1_AC239803.1	0.560094
c1_AC240274.1	0.399042
c1_AC243654.1	0.890692
c1_AC243830.1	0.426266
c1_AC243964.2	0.747179
c1_AC244021.1	0.354331
c1_AC244034.2	0.546284
c1_AC244090.1	0.364749
c1_AC244197.2	0.75731
c1_AC245014.3	0.615053
c1_AC245052.7	0.517401
c1_AC245297.2	0.269442
c1_AC245297.3	0.597058
c1_AC245452.1	0.178932
c1_AC254633.1	0.54781
c1_ACAA1	0.666942
c1_ACACA	0.310205
c1_ACAD10	0.463885
c1_ACAD11	0.484426
c1_ACAD8	0.483362
c1_ACAD9	0.504233
c1_ACADL	0.499059
c1_ACADM	0.631004
c1_ACADS	0.667684
c1_ACADSB	0.333329
c1_ACAP1	0.59437
c1_ACAP2	0.703651
c1_ACAP3	0.308425
c1_ACAT1	0.460321
c1_ACAT2	0.240862
c1_ACBD3	0.583224
c1_ACBD4	0.378517
c1_ACBD5	0.459658
c1_ACBD6	0.687564
c1_ACCS	0.442213
c1_ACD	0.600236
c1_ACER3	0.56808
c1_ACIN1	0.507768
c1_ACKR1	0.201815
c1_ACKR2	0.898603
c1_ACLY	0.327152
c1_ACO1	0.532251
c1_ACO2	0.756012
c1_ACOT11	0.432994
c1_ACOT7	0.376166
c1_ACOT8	0.493869
c1_ACOT9	0.622759
c1_ACOX1	0.591131
c1_ACOX2	0.447585
c1_ACOX3	0.522316
c1_ACP1	0.381294
c1_ACP2	0.637706
c1_ACP5	0.561321
c1_ACP6	0.617905
c1_ACR	0.47963
c1_ACSBG1	0.602562
c1_ACSF3	0.463801
c1_ACSL3	0.447387
c1_ACTB	0.247848
c1_ACTG1	0.33053
c1_ACTN1-AS1	0.953581
c1_ACTN2	0.375292
c1_ACTN4	0.70441
c1_ACTR10	0.106477
c1_ACTR1A	0.560017
c1_ACTR1B	0.524139
c1_ACTR2	0.579405
c1_ACTR3	0.822976
c1_ACTR6	0.468704
c1_ACTR8	0.411432
c1_ACVR1	0.686124
c1_ACVR2A	0.377289
c1_ACVR2B	0.530109
c1_ACYP1	0.45399
c1_ACYP2	0.491826
c1_ADA2	0.399285
c1_ADAL	0.391415
c1_ADAM10	0.8417
c1_ADAM12	0.433584
c1_ADAM17	0.886206
c1_ADAM23	0.349795
c1_ADAM32	0.31893
c1_ADAMTS15	0.484721
c1_ADAMTS18	0.067788
c1_ADAMTS2	0.743243
c1_ADAMTS3	0.273524
c1_ADAMTS5	0.013325
c1_ADAMTS7	0.610474
c1_ADAMTS9-AS2	0.777224
c1_ADAMTSL1	0.379648
c1_ADAR	0.484653
c1_ADAT1	0.329559
c1_ADAT2	0.364729
c1_ADCK1	0.425523
c1_ADCK2	0.302715
c1_ADCK5	0.42206
c1_ADCY6	0.33972
c1_ADCY7	0.156676
c1_ADCY9	0.425533
c1_ADCYAP1R1	0.377494
c1_ADD1	0.636143
c1_ADGB	0.49068
c1_ADGRA1	0.448856
c1_ADGRA3	0.582789
c1_ADGRB2	0.408258
c1_ADGRB3	0.227901
c1_ADGRD1	0.56512
c1_ADGRE5	0.405486
c1_ADGRG1	0.976235
c1_ADGRL2	0.826519
c1_ADGRL3	0.338911
c1_ADGRL4	0.705448
c1_ADH5	0.648643
c1_ADHFE1	0.885706
c1_ADI1	0.799664
c1_ADIPOR1	0.799923
c1_ADIPOR2	0.545494
c1_ADK	0.76041
c1_ADM	0.617008
c1_ADM2	0.988318
c1_ADNP	0.59447
c1_ADNP2	0.641956
c1_ADO	0.356738
c1_ADPGK	0.497417
c1_ADPRHL2	0.661316
c1_ADPRM	0.429292
c1_ADRA1A	0.151418
c1_ADRA1D	0
c1_ADRM1	0.152773
c1_ADSL	0.496456
c1_ADSS	0.669209
c1_ADSSL1	0.601916
c1_AEBP2	0.562866
c1_AES	0.923857
c1_AF117829.1	0.409489
c1_AF127577.4	0.339252
c1_AF131215.3	0.211488
c1_AF196972.1	0.575694
c1_AF233439.1	0.131588
c1_AFAP1	0.205663
c1_AFAP1L1	0.555255
c1_AFDN	0.675245
c1_AFDN-DT	0.39208
c1_AFF1	0.778145
c1_AFF3	0.360353
c1_AFF4	0.670578
c1_AFG1L	0.314225
c1_AFG3L2	0.535617
c1_AFMID	0.80888
c1_AFTPH	0.346863
c1_AGAP1	0.521169
c1_AGAP2-AS1	0.174571
c1_AGAP3	0.331406
c1_AGAP4	0.405204
c1_AGAP5	0.370066
c1_AGAP6	0.407859
c1_AGAP9	0.252494
c1_AGBL2	0.337657
c1_AGBL3	0.263359
c1_AGBL5	0.58383
c1_AGER	0.50484
c1_AGFG1	0.549268
c1_AGFG2	0.456676
c1_AGGF1	0.54208
c1_AGK	0.412538
c1_AGL	0.376277
c1_AGO1	0.643701
c1_AGO2	0.42886
c1_AGO3	0.595201
c1_AGO4	0.251257
c1_AGPAT1	0.643425
c1_AGPAT3	0.70773
c1_AGPAT4	0.556561
c1_AGPAT5	0.664522
c1_AGPS	0.390517
c1_AGRN	0.790266
c1_AGTPBP1	0.413782
c1_AHCTF1	0.759496
c1_AHCY	1.02096
c1_AHCYL1	0.784118
c1_AHCYL2	0.482411
c1_AHDC1	0.578087
c1_AHI1	0.498175
c1_AHR	0.297627
c1_AHRR	0.378079
c1_AHSA1	0.130162
c1_AIDA	0.44453
c1_AIF1L	0.872971
c1_AIFM1	0.446481
c1_AIG1	0.605197
c1_AIMP1	0.770693
c1_AIMP2	0.685552
c1_AIP	0.577768
c1_AJ239322.1	0.421926
c1_AK1	0.589465
c1_AK2	0.989919
c1_AK3	0.852461
c1_AK4	0.965705
c1_AK5	0.137785
c1_AK6	0.769908
c1_AK8	0.682889
c1_AK9	0.205979
c1_AKAP1	0.279455
c1_AKAP10	0.595538
c1_AKAP11	0.400626
c1_AKAP12	0.425737
c1_AKAP17A	0.598568
c1_AKAP6	0.185165
c1_AKAP7	0.610993
c1_AKAP8	0.425117
c1_AKAP8L	0.713144
c1_AKAP9	0.467829
c1_AKIP1	0.51126
c1_AKIRIN1	0.772672
c1_AKIRIN2	0.57929
c1_AKNA	1.07279
c1_AKR1A1	0.805747
c1_AKT1	0.849925
c1_AKT1S1	0.667277
c1_AKT2	0.536254
c1_AKT3	0.414435
c1_AKTIP	0.559523
c1_AL009031.1	0
c1_AL020996.1	0.146635
c1_AL021368.2	0.398073
c1_AL021392.1	0.359215
c1_AL021453.1	0.379429
c1_AL021707.1	0.801945
c1_AL021707.5	0.519041
c1_AL021707.6	0.534307
c1_AL021707.7	0.325886
c1_AL022068.1	0.41177
c1_AL022238.2	0.373842
c1_AL022323.3	0.424974
c1_AL022323.4	0.653909
c1_AL022328.4	0.425374
c1_AL022341.1	0.059099
c1_AL023284.4	0.300849
c1_AL023583.1	0.357313
c1_AL024507.2	0.439367
c1_AL024508.2	0.310545
c1_AL031283.1	0.305906
c1_AL031432.5	0.809555
c1_AL031666.1	0.685935
c1_AL031708.1	0.671573
c1_AL031777.3	0.467573
c1_AL033527.5	0.618009
c1_AL034549.1	0.369504
c1_AL035413.1	0.618081
c1_AL035681.1	0.433334
c1_AL049795.1	0.046265
c1_AL049840.1	0.344291
c1_AL078639.1	0.476982
c1_AL080276.2	0.352863
c1_AL080317.2	0.437878
c1_AL080317.3	0.217532
c1_AL096865.1	0.612056
c1_AL109659.2	0
c1_AL109811.2	0.059447
c1_AL109976.1	1.02643
c1_AL110115.2	0.390511
c1_AL117332.1	0.325216
c1_AL117335.1	0.717233
c1_AL117336.3	0.333062
c1_AL118558.3	0.256462
c1_AL121601.1	0.757915
c1_AL121603.2	0.463319
c1_AL121672.2	0.246584
c1_AL121768.1	0.286267
c1_AL121787.1	0.376412
c1_AL121809.1	0.832725
c1_AL121827.2	0.743951
c1_AL121832.2	0.242583
c1_AL121917.1	0.639056
c1_AL121944.1	0.353481
c1_AL122058.1	0.260109
c1_AL132656.2	0.222504
c1_AL132780.2	0.650116
c1_AL132800.1	0.63134
c1_AL133215.2	0.470458
c1_AL133338.1	0.32121
c1_AL133342.1	0.254095
c1_AL133343.2	0.611953
c1_AL133351.1	0.230897
c1_AL133370.1	0.46895
c1_AL133410.1	0.589851
c1_AL133415.1	0.428522
c1_AL133453.1	0.422951
c1_AL135791.1	0.372433
c1_AL135905.1	0.468837
c1_AL135925.1	0.498175
c1_AL136038.3	0.357167
c1_AL136040.1	0.369137
c1_AL136295.5	0.387266
c1_AL136304.1	0.326684
c1_AL136418.1	0.217176
c1_AL136979.1	0.524983
c1_AL137002.2	0.429241
c1_AL137003.2	0.031337
c1_AL137026.1	0.477398
c1_AL137145.1	0.624174
c1_AL137145.2	0.441659
c1_AL137246.2	0.425169
c1_AL137796.1	0.32818
c1_AL137847.2	0.096828
c1_AL138724.1	0.188425
c1_AL138921.1	1.0284
c1_AL138995.1	0.39848
c1_AL139011.1	0.149297
c1_AL139158.2	0.668094
c1_AL139220.2	1.06848
c1_AL139260.1	0.472553
c1_AL139289.2	0.609653
c1_AL139317.3	0.450999
c1_AL139353.1	0.660903
c1_AL139384.1	0.43984
c1_AL139393.2	0.448855
c1_AL139412.1	0.36761
c1_AL157756.1	0.261152
c1_AL157838.1	0.441071
c1_AL157904.1	0.428296
c1_AL158152.1	0.385366
c1_AL158835.1	0.698849
c1_AL160269.1	0.656684
c1_AL162231.1	0.426682
c1_AL162231.2	0.383907
c1_AL162258.2	0.232075
c1_AL162511.1	0.994075
c1_AL162741.1	0.570291
c1_AL353622.1	0.306565
c1_AL354836.1	0.373096
c1_AL354861.3	0.866653
c1_AL354920.1	0.276308
c1_AL354977.1	0.410732
c1_AL354977.2	0.547104
c1_AL354993.1	0
c1_AL355001.2	0.594902
c1_AL355075.4	0.414407
c1_AL355312.3	0.217388
c1_AL355353.1	0.14193
c1_AL355472.1	0.489169
c1_AL355488.1	0.04126
c1_AL356481.1	0.215252
c1_AL356488.3	0.278336
c1_AL356599.1	0.40916
c1_AL358334.2	0.141475
c1_AL359091.1	0.640703
c1_AL359232.1	0.483368
c1_AL359643.3	0.353176
c1_AL359644.1	0.476927
c1_AL359736.1	0.582434
c1_AL359851.1	0.322082
c1_AL359915.2	0.448136
c1_AL360012.1	0.408613
c1_AL360270.3	0.458842
c1_AL365181.2	0.33739
c1_AL365181.3	0.334255
c1_AL365181.4	0.541563
c1_AL365226.1	0.143315
c1_AL365259.1	0.680956
c1_AL365275.1	0
c1_AL390037.1	0.40077
c1_AL390208.1	0.114315
c1_AL390728.6	0.553902
c1_AL391069.2	0.327175
c1_AL391069.3	0.521677
c1_AL391097.1	0.358099
c1_AL391152.1	0.766931
c1_AL391807.1	0.384493
c1_AL391834.2	0.382008
c1_AL392172.1	0.447606
c1_AL441992.1	0.345054
c1_AL445231.1	0.825479
c1_AL445307.1	0.472143
c1_AL445472.1	0.230755
c1_AL445483.1	0.736924
c1_AL445524.1	0.39264
c1_AL445985.1	0.385423
c1_AL449106.1	0.702192
c1_AL450306.1	0.482275
c1_AL450326.1	0.315362
c1_AL450998.2	0.46812
c1_AL451069.1	0.885659
c1_AL451085.2	0.116366
c1_AL451165.2	0.78363
c1_AL583808.1	0.746358
c1_AL590226.2	0.535042
c1_AL590428.1	0.432995
c1_AL590560.1	0
c1_AL590705.1	0.535
c1_AL591845.1	0.614731
c1_AL592166.1	0.999918
c1_AL603756.1	0.637456
c1_AL606469.1	0.110832
c1_AL606760.1	0.183174
c1_AL606760.3	0.653491
c1_AL627171.1	0.315415
c1_AL627171.2	0.253877
c1_AL645608.8	0.62057
c1_AL645933.2	0.624025
c1_AL662796.1	0.377412
c1_AL662884.4	0.327303
c1_AL683807.1	0.439623
c1_AL683807.2	0.902502
c1_AL683813.1	0.265002
c1_AL691432.2	0.438995
c1_AL731537.1	0.208683
c1_AL731569.1	0.405743
c1_AL731571.1	0.274231
c1_AL731661.1	0.66623
c1_AL928654.1	0.168403
c1_AL928921.2	0.136676
c1_ALAD	0.275691
c1_ALAS1	0.571403
c1_ALDH16A1	0.475138
c1_ALDH18A1	0.577072
c1_ALDH1B1	0.484911
c1_ALDH2	0.652802
c1_ALDH3A1	0.379062
c1_ALDH3A2	0.409097
c1_ALDH3B1	0.404648
c1_ALDH5A1	0.507515
c1_ALDH6A1	0.702175
c1_ALDH9A1	0.658673
c1_ALDOA	0.865908
c1_ALG1	0.485494
c1_ALG10B	0.337431
c1_ALG11	0.313623
c1_ALG12	0.40718
c1_ALG13	0.484861
c1_ALG14	0.507569
c1_ALG2	0.797797
c1_ALG3	0.817482
c1_ALG5	0.817106
c1_ALG6	0.39951
