Gene	Expr0	Expr1	Expr2	Expr3	Expr4
ZNF7	0.447696	0.525848	0.584087	0.503074	0.63385
ZNF696	0.245483	0.250307	0.358363	0.4281	0.177612
ZNF695	0.0542511	0.0176369	0.0509265	0.325778	0.970176
ZNF692	0.285012	0.226435	0.370678	0.424202	0.284621
ZNF691	0.304009	0.145391	0.415499	0.372049	0.323693
ZNF688	0.729026	0.656332	0.524314	0.593822	0.508459
ZNF687	0.572065	0.409842	0.43874	0.422771	0.50229
ZNF684	0.453375	0.294406	0.285793	0.644161	0.506805
ZNF682	0.37971	0.341348	0.432682	0.63914	0.857535
ZNF681	0.171348	0.205793	0.306064	0.21702	0.525999
ZNF680	0.380475	0.347042	0.457363	0.800074	0.725471
ZNF678	0.332656	0.335941	0.284301	0.363945	0.545593
ZNF677	0.400571	0.390492	0.486663	0.54819	0.294088
ZNF675	0.254824	0.255404	0.232747	0.282665	0.492386
ZNF672	0.339765	0.353685	0.439208	0.525016	0.696448
ZNF668	0.241499	0.283128	0.299889	0.385553	0.301857
ZNF667-AS1	0.39157	0.286349	0.349399	0.444625	0.29158
ZNF667	0.364303	0.27176	0.549718	0.308209	0.446055
ZNF665	0.206506	0.251337	0.327354	0.398504	0.40969
ZNF664	0.699036	0.55505	0.63594	0.516993	0.712957
ZNF660	0.382734	0.293782	0.389104	0.333962	0.587019
ZNF66	0.152819	0.128676	0.17433	0.401194	0.650912
ZNF658	0.272179	0.244412	0.384514	0.339217	0.300112
ZNF655	0.524986	0.493883	0.767748	0.564017	0.65384
ZNF654	0.485849	0.407342	0.431398	0.480369	0.552308
ZNF652	0.401084	0.383431	0.355264	0.442397	0.351391
ZNF649	0.396324	0.402231	0.5166	0.611843	0.472415
ZNF646	0.280422	0.289162	0.415445	0.226299	0.622837
ZNF644	0.61471	0.518767	0.653803	0.536361	0.642896
ZNF641	0.313339	0.280671	0.329801	0.332542	0.170412
ZNF639	0.332714	0.32157	0.328032	0.400625	0.392581
ZNF638	0.634119	0.576309	0.664738	0.691695	0.804343
ZNF629	0.429311	0.349048	0.425524	0.487126	0.531778
ZNF628	0.243352	0.356786	0.479479	0.262986	0.293159
ZNF627	0.26865	0.311085	0.27739	0.408494	0.298553
ZNF626	0.462565	0.48981	0.527941	0.598013	0.416537
ZNF625	0.311561	0.222471	0.31742	0.409472	0.287189
ZNF623	0.279757	0.226003	0.321409	0.374522	0.327929
ZNF622	0.366845	0.347847	0.406363	0.475313	0.332473
ZNF621	0.583211	0.410732	0.63723	0.383696	0.497842
ZNF620	0.149949	0.180924	0.190956	0.417985	0.502259
ZNF618	0.355107	0.32671	0.449619	0.38895	0.369506
ZNF616	0.284348	0.27453	0.290896	0.359409	0.165031
ZNF609	0.606139	0.502636	0.490919	0.486354	0.650939
ZNF608	0.582315	0.533185	0.849927	0.504702	0.752389
ZNF606	0.378623	0.365547	0.265233	0.448827	0.460082
ZNF605	0.319075	0.397135	0.513753	0.415099	0.351255
ZNF600	0.24732	0.204028	0.459925	1.01888	0.236878
ZNF599	0.678856	0.611673	0.276937	0.392251	0.423148
ZNF598	0.507394	0.4296	0.538498	0.51344	0.502443
ZNF594	0.30388	0.258808	0.256624	0.273397	0.500313
ZNF593	0.729914	0.699152	0.766824	0.860343	0.55453
ZNF592	0.467916	0.491237	0.475718	0.339673	0.595618
ZNF587B	0.373487	0.370979	0.4573	0.264296	0.501628
ZNF587	0.399882	0.322943	0.405731	0.41433	0.459232
ZNF584	0.613315	0.349411	0.518636	0.605836	0.66481
ZNF582	0.296217	0.413237	0.326917	0.263179	0.161849
ZNF581	0.530271	0.616922	0.763819	0.758414	0.655901
ZNF580	0.757382	0.775666	0.638815	0.69578	0.570181
ZNF579	0.33073	0.358475	0.535844	0.617928	0.364819
ZNF577	0.60162	0.428764	0.61976	0.719289	0.541406
ZNF576	0.463309	0.520085	0.397825	0.37971	0.529481
ZNF567	0.26135	0.297884	0.355625	0.331464	0.430114
ZNF564	0.278365	0.261037	0.523853	0.428646	0.551737
ZNF563	0.365995	0.304219	0.379632	0.675906	0.498282
ZNF562	0.283258	0.276628	0.455912	0.393713	0.258338
ZNF561	0.401434	0.580898	0.875497	0.788318	0.620896
ZNF559	0.424621	0.286467	0.358104	0.332015	0.416937
ZNF558	0.288689	0.206031	0.58112	0.514713	0.365245
ZNF551	0.210314	0.14227	0.312828	0.318103	0.44384
ZNF548	0.382446	0.331487	0.324188	0.32224	0.433248
ZNF544	0.418168	0.421921	0.543625	0.768316	0.420951
ZNF543	0.20563	0.198632	0.373643	0.362599	0.294335
ZNF532	0.865428	0.695281	0.652106	0.633859	0.896024
ZNF530	0.294735	0.214846	0.282392	0.518011	0.651105
ZNF529-AS1	0.440431	0.385972	0.306029	0.721014	0.255332
ZNF526	0.365233	0.323278	0.378378	0.395063	0.479696
ZNF521	0.268961	0.141877	0.338145	0.561605	0.249373
ZNF519	0.204003	0.114354	0.178938	0.440485	1.04996
ZNF518B	0.460963	0.458707	0.484602	0.371971	0.343158
ZNF518A	0.724886	0.646808	0.79333	0.642129	0.813459
ZNF516	0.849927	0.459421	0.842279	0.958635	0.634565
ZNF514	0.388697	0.315242	0.378711	0.283436	0.312375
ZNF513	0.37699	0.382191	0.504285	0.418654	0.294394
ZNF512B	0.342168	0.335014	0.423094	0.280517	0.435063
ZNF512	0.38574	0.355276	0.320427	0.417704	0.378156
ZNF511	0.759906	0.641343	0.777754	0.861415	0.856293
ZNF507	0.456238	0.408049	0.432436	0.344908	0.528451
ZNF506	0.268195	0.311178	0.347926	0.390756	0.301564
ZNF500	0.407298	0.249518	0.368075	0.519622	0.477076
ZNF497	0.47023	0.283507	0.243986	0.356842	0.251471
ZNF496	0.222965	0.268075	0.314673	0.467029	0.436631
ZNF487	1.27538	0.899825	0.670278	0.500476	0.735713
ZNF486	0.475925	0.270122	0.125307	0.799535	0.82015
ZNF480	0.442875	0.431227	0.383099	0.661412	0.322367
ZNF48	0.231432	0.261218	0.285485	0.343294	0.314198
ZNF473	0.35638	0.311596	0.319722	0.408397	0.519884
ZNF468	0.270314	0.148479	0.246031	0.438836	0.443607
ZNF462	0.539382	0.411665	0.55668	0.624906	0.578359
ZNF460	0.254957	0.443893	0.381682	0.244887	0.435277
ZNF451	0.467874	0.514723	0.472321	0.474742	0.636664
ZNF45	0.462503	0.271462	0.370064	0.369751	0.509615
ZNF446	0.605874	0.47495	0.600698	0.331281	0.571473
ZNF445	0.337586	0.254376	0.277794	0.408875	0.549324
ZNF444	0.480699	0.460145	0.623539	0.540454	0.449408
ZNF441	0.287354	0.32127	0.560245	0.446987	0.383818
ZNF440	0.399346	0.244071	0.454976	0.463288	0.377313
ZNF44	0.360083	0.232906	0.340084	0.627429	0.436002
ZNF436-AS1	0.577083	0.624157	0.393262	0.899578	0.347734
ZNF436	0.404936	0.415532	0.728547	0.305399	0.543912
ZNF433	0.428485	0.267164	0.386734	0.53448	0.270038
ZNF432	0.66308	0.473101	0.644604	0.572705	0.566026
ZNF431	0.369103	0.316679	0.585145	0.620324	0.763454
ZNF430	0.263623	0.27902	0.392361	0.448552	0.642544
ZNF43	0.339103	0.403988	0.464919	0.403333	1.0754
ZNF429	0.368813	0.3746	0.334259	0.255017	0.381228
ZNF426	0.400112	0.494436	0.695691	0.60483	0.447526
ZNF425	0.254473	0.329284	0.464051	0.253408	0.271736
ZNF419	0.272131	0.285071	0.297321	0.472134	0.312654
ZNF414	0.391273	0.316366	0.37549	0.399368	0.398832
ZNF408	0.281467	0.175493	0.380031	0.490437	0.254908
ZNF407	0.352408	0.514865	0.685348	0.284455	0.376513
ZNF398	0.36215	0.307009	0.407646	0.32172	0.456617
ZNF397	0.372317	0.30751	0.484623	0.447452	0.326848
ZNF396	1.05702	0.661549	0.394371	0.458665	0.548308
ZNF395	0.912451	0.388245	0.564076	0.725497	0.812301
ZNF394	0.446256	0.389864	0.461445	0.592981	0.441643
ZNF385A	0.316447	0.311945	0.512682	1.08712	0.50712
ZNF384	0.412987	0.311457	0.367729	0.504539	0.575545
ZNF37A	0.386679	0.333504	0.458193	0.428871	0.438559
ZNF362	0.512642	0.337369	0.42038	0.488618	0.53043
ZNF358	0.438506	0.432126	0.461916	0.592876	0.480823
ZNF347	0.2931	0.294641	0.418287	0.342065	0.669081
ZNF346	0.279661	0.346645	0.367818	0.459673	0.482125
ZNF345	0.300827	0.229526	0.389148	0.263263	0.389787
ZNF34	0.336478	0.27385	0.247247	0.310491	0.221518
ZNF33A	0.352871	0.283175	0.327158	0.405905	0.379477
ZNF337-AS1	0.237454	0.358272	0.483189	0.310305	0.660618
ZNF337	0.378034	0.319213	0.491361	0.462262	0.402962
ZNF335	0.277437	0.314372	0.413962	0.354937	0.464313
ZNF334	0.322159	0.363934	0.480937	0.493514	0.54579
ZNF333	0.242645	0.290625	0.290424	0.451129	0.178198
ZNF331	0.303565	0.171758	0.231776	0.416224	0.642988
ZNF330	0.752338	0.816075	0.795127	0.980764	0.714364
ZNF326	0.566611	0.521674	0.614333	0.567614	0.789938
ZNF324B	0.346702	0.248049	0.258796	0.315694	0.361207
ZNF324	0.306251	0.218124	0.397803	0.337186	0.338784
ZNF322	0.475064	0.456365	0.525568	0.59495	0.463329
ZNF32	0.44489	0.54201	0.410243	0.521051	0.356617
ZNF318	0.303448	0.378545	0.475956	0.350441	0.375089
ZNF317	0.324903	0.225941	0.403508	0.367427	0.378345
ZNF316	0.361229	0.279115	0.432543	0.321259	0.412847
ZNF302	0.41007	0.407994	0.502351	0.586164	0.469646
ZNF3	0.597774	0.401783	0.606546	0.631738	0.640649
ZNF292	0.53048	0.405862	0.553213	0.626766	0.69651
ZNF287	0.351674	0.285438	0.189211	0.544258	0.218657
ZNF282	0.374667	0.288796	0.353877	0.413865	0.413865
ZNF281	0.288051	0.270601	0.332542	0.378778	0.301119
ZNF280D	0.385508	0.376868	0.407973	0.41765	0.442715
ZNF280C	0.350305	0.207081	0.360128	0.368131	0.314325
ZNF28	0.254183	0.263551	0.401139	0.469948	0.460428
ZNF277	0.406101	0.478661	0.381018	0.675003	0.368388
ZNF276	0.419733	0.319687	0.348912	0.3014	0.433301
ZNF275	0.425406	0.406308	0.466925	0.538359	0.470761
ZNF274	0.283424	0.334191	0.480379	0.688637	0.461979
ZNF268	0.51918	0.414655	0.450211	0.445314	0.311131
ZNF267	0.529711	0.403813	0.365693	0.493688	0.386701
ZNF266	0.261832	0.19701	0.351617	0.573568	0.420606
ZNF264	0.459285	0.35216	0.396401	0.399073	0.320265
ZNF263	0.344363	0.253033	0.463371	0.39754	0.366096
ZNF260	0.404184	0.468562	0.458182	0.372796	0.313095
ZNF26	0.4339	0.345249	0.634324	0.472748	0.639742
ZNF256	0.241706	0.209216	0.221766	0.549373	0.340255
ZNF254	0.351165	0.439091	0.498149	0.426361	0.444709
ZNF253	0.31407	0.2941	0.378722	0.315427	0.311433
ZNF24	0.786647	0.678018	0.714584	0.76489	0.774367
ZNF236	0.378489	0.397135	0.435426	0.47414	0.631887
ZNF235	0.529601	0.40547	0.41997	0.189173	0.282855
ZNF234	0.311143	0.314105	0.319895	0.34804	0.308897
ZNF232	0.384857	0.185181	0.226028	0.489656	0.386723
ZNF227	0.343419	0.300323	0.514531	0.535436	0.398974
ZNF226	0.59474	0.562338	0.551757	0.738431	0.382202
ZNF224	0.544466	0.314847	0.502697	0.417337	0.344556
ZNF22	0.613343	0.611984	0.539551	0.722623	0.62571
ZNF219	0.531678	0.597212	0.535824	0.965936	0.753767
ZNF214	0.392273	0.258217	0.219649	0.370655	0.425835
ZNF213-AS1	0.325812	0.293924	0.348822	0.27921	0.359993
ZNF213	0.319606	0.274542	0.255332	0.388564	0.328308
ZNF212	0.352114	0.187527	0.400986	0.425814	0.280861
ZNF207	0.716657	0.722571	0.786688	0.678829	0.746579
ZNF205	0.312735	0.303974	0.460638	0.35664	0.362767
ZNF200	0.342111	0.254921	0.269201	0.404685	0.476993
ZNF197	0.401598	0.379299	0.356606	0.3587	0.411079
ZNF195	0.424514	0.446934	0.561057	0.667747	0.497883
ZNF19	1.04351	0.44597	0.445737	0.451034	0.825745
ZNF189	0.523442	0.43891	0.331052	0.276604	0.573607
ZNF185	1.1358	0.692499	0.699632	0.59787	1.1148
ZNF184	0.283839	0.27902	0.259688	0.321882	0.525708
ZNF18	0.437824	0.400833	0.312096	0.309293	0.306869
ZNF174	0.345283	0.357169	0.358014	0.342498	0.216449
ZNF160	0.50782	0.378722	0.659523	0.725445	0.497342
ZNF154	0.247612	0.236891	0.445896	0.209017	0.248134
ZNF148	0.545613	0.500588	0.543031	0.473953	0.547785
ZNF146	0.520588	0.470729	0.554834	0.674705	0.631756
ZNF143	0.519743	0.497689	0.760962	0.595723	0.514683
ZNF141	0.295323	0.288831	0.424148	0.416397	0.462304
ZNF140	0.28526	0.391119	0.559971	0.421522	0.36307
ZNF138	0.294559	0.250865	0.338487	0.551993	0.358993
ZNF136	0.232734	0.233262	0.341861	0.342111	0.355727
ZNF135	0.272967	0.232796	0.379676	0.325997	0.333527
ZNF134	0.314685	0.337289	0.335803	0.439027	0.312874
ZNF131	0.341621	0.383032	0.385773	0.559648	0.524956
ZNF121	0.28378	0.298717	0.401183	0.481578	0.286917
ZNF12	0.486828	0.436684	0.493596	0.491925	0.452079
ZNF117	0.328676	0.35682	0.482229	0.383442	0.522889
ZNF112	0.225904	0.27139	0.206706	0.391196	0.342578
ZNF107	0.311433	0.345907	0.301131	0.423137	1.29605
ZNF106	0.695281	0.692481	0.715639	0.518162	0.61206
ZNF100	0.338019	0.329916	0.241035	0.481444	0.970684
ZMYND8	0.450359	0.381328	0.491874	0.562973	0.602742
ZMYND15	0	0.426469	0	0	0.453533
ZMYND12	0.718184	0.225065	0.0474267	0.321755	0.512399
ZMYND11	0.536709	0.484736	0.443076	0.422534	0.525989
ZMYM6	0.371369	0.34426	0.410678	0.376446	0.313153
ZMYM5	0.384547	0.385055	0.497658	0.5397	0.61257
ZMYM4	0.684361	0.767061	0.741782	0.619263	0.799286
ZMYM3	0.507648	0.425352	0.407918	0.503908	0.557013
ZMYM2	0.619591	0.48655	0.607172	0.607976	0.604707
ZMYM1	0.43743	0.471864	0.477408	0.450728	0.607882
ZMPSTE24	0.649064	0.559541	0.681638	0.37244	0.625046
ZMAT5	0.607626	0.528471	0.52682	0.71498	0.452785
ZMAT2	0.549965	0.469511	0.505027	0.570949	0.508266
ZMAT1	0.599242	0.449641	0.58553	0.491258	0.666929
ZKSCAN8	0.466058	0.408081	0.454481	0.412586	0.432147
ZKSCAN5	0.284277	0.366957	0.359915	0.405415	0.39777
ZKSCAN4	0.210788	0.291144	0.275174	0.532915	0.257155
ZKSCAN1	0.803748	0.670142	0.759752	0.737444	0.739485
ZIK1	0.310491	0.12696	0.267068	0.292629	0.669154
ZHX3	0.408994	0.328986	0.40744	0.336843	0.502544
ZHX2	0.970471	0.683166	0.874821	0.570337	0.73114
ZHX1	0.419258	0.467196	0.383552	0.336089	0.378678
ZFYVE9	0.363272	0.287047	0.311364	0.232305	0.227273
ZFYVE27	0.265737	0.256129	0.369606	0.436855	0.267116
ZFYVE26	0.330925	0.287283	0.381782	0.267164	0.286361
ZFYVE21	0.689031	0.622546	0.627607	0.628662	0.622752
ZFYVE19	0.194579	0.376012	0.220256	0.359094	0.388829
ZFYVE16	0.748633	0.6998	0.732964	0.66762	1.15383
ZFYVE1	0.485489	0.468834	0.533155	0.490447	0.350927
ZFX	0.792547	0.659906	0.721521	0.579103	0.880537
ZFR	0.805812	0.752723	0.697845	0.673891	0.651702
ZFPM2	0.451467	0.32848	0.493258	0.0398543	0.746683
ZFPM1	0.586616	0.579315	0.588891	0.740997	0.511326
ZFPL1	0.517941	0.55505	0.582797	0.653335	0.401969
ZFP91	0.488124	0.464877	0.41045	0.438846	0.643302
ZFP90	0.364169	0.331614	0.422459	0.398066	0.43081
ZFP64	0.366834	0.319271	0.340152	0.487733	0.357653
ZFP30	0.329411	0.214299	0.282618	0.260303	0.344294
ZFP1	0.287307	0.263864	0.257614	0.33546	0.381682
ZFHX4	0.693534	0.766476	0.60259	0.630517	0.606129
ZFHX3	0.669616	0.910978	0.953057	0.514269	0.788727
ZFHX2	0.451604	0.420035	0.49133	0.236658	0.300791
ZFC3H1	0.516519	0.5192	0.559619	0.431484	0.428217
ZFAT	0.354678	0.329296	0.35861	0.328434	0.447378
ZFAS1	0.898332	0.97892	0.802069	0.979594	0.764193
ZFAND6	0.474825	0.552623	0.549048	0.461026	0.447822
ZFAND5	0.536769	0.538816	0.707534	0.619826	0.580416
ZFAND4	0.348924	0.29191	0.22033	0.416872	0.250877
ZFAND3	0.720322	0.689594	0.680378	0.803136	0.55718
ZFAND2B	0.442248	0.42605	0.429664	0.33658	0.521583
ZFAND2A	0.294912	0.354588	0.277544	0.483777	0.204441
ZFAND1	0.285899	0.244607	0.244229	0.422653	0.272859
ZER1	0.522026	0.372596	0.46424	0.518193	0.373476
ZEB1	0.412662	0.270397	0.264152	0.511073	0.384823
ZDHHC9	0.327066	0.249397	0.310422	0.45546	0.317385
ZDHHC8	0.307708	0.407037	0.438527	0.513642	0.331625
ZDHHC7	0.635754	0.563285	0.660673	0.524134	0.560617
ZDHHC6	0.480534	0.452648	0.446701	0.531678	0.547983
ZDHHC5	0.464156	0.508621	0.558111	0.431109	0.675491
ZDHHC4	0.940918	0.917042	0.654985	0.854411	0.922997
ZDHHC3	0.543664	0.379554	0.47833	0.441558	0.452511
ZDHHC24	0.796797	0.91718	0.841168	0.782601	0.42149
ZDHHC21	0.535983	0.508804	0.514087	0.413128	0.464386
ZDHHC20	0.635086	0.583317	0.56139	0.360117	0.941737
ZDHHC2	0.745728	0.843445	0.585539	0.63264	0.590473
ZDHHC17	0.520327	0.47776	0.456964	0.387682	0.389468
ZDHHC16	0.616875	0.49634	0.488515	0.601649	0.567146
ZDHHC15	0.491237	0.409136	0.37293	0.344147	0.593105
ZDHHC11B	0.387539	0.260568	0.629277	0.33538	0.562201
ZDHHC11	0.789913	0.476205	0.840298	0.79048	0.945855
ZDBF2	0.494743	0.428121	0.447928	0.424073	0.489183
ZCWPW2	0.294771	0.447029	0.715173	0.262469	0.350452
ZCWPW1	0.459358	0.352499	0.251046	0.171015	0.35514
ZCRB1	0.78535	0.707101	0.63477	0.863415	0.620136
ZCCHC9	0.592187	0.584645	0.589601	0.874018	0.717052
ZCCHC8	0.418525	0.358486	0.520256	0.579711	0.710261
ZCCHC7	0.436652	0.446891	0.448774	0.483148	0.289221
ZCCHC4	0.308897	0.198871	0.402809	0.441441	0.497679
ZCCHC3	0.521191	0.4056	0.456028	0.590923	0.535844
ZCCHC2	0.272537	0.297203	0.287508	0.302921	0.190729
ZCCHC17	0.499068	0.49918	0.528281	0.61711	0.489039
ZCCHC14	0.363833	0.321305	0.427831	0.332313	0.506236
ZCCHC10	0.414233	0.445578	0.457899	0.608213	0.41724
ZC3HC1	0.417564	0.391042	0.510385	0.49294	0.496473
ZC3HAV1L	0.315253	0.255658	0.123825	0.251325	0.467885
ZC3H8	0.270433	0.266793	0.315427	0.365043	0.356076
ZC3H7B	0.36993	0.366789	0.377646	0.259544	0.386612
ZC3H7A	0.663554	0.680441	0.801895	0.570512	0.796008
ZC3H6	0.398832	0.347405	0.376402	0.391801	0.32262
ZC3H4	0.469907	0.384171	0.369651	0.354678	0.485829
ZC3H18	0.449049	0.428303	0.552938	0.489851	0.706995
ZC3H15	0.453681	0.589687	0.550339	0.130654	0.46633
ZC3H14	0.787474	0.656176	0.689138	0.592225	0.868094
ZC3H13	0.58651	0.507952	0.547746	0.532417	0.62308
ZC3H12C	0.579074	0.569452	0.815977	0.807577	0.751952
ZC3H12A	0.445165	0.0607392	0	0.826445	0.20808
ZC3H10	0.374422	0.32307	0.529711	0.220986	0.473174
ZC2HC1C	1.08571	0.597078	0.488782	0.412608	0.490365
ZC2HC1A	0.377846	0.276604	0.306834	0.357529	0.351108
ZBTB8OS	0.489255	0.646209	0.539174	0.64806	0.4842
ZBTB8A	0.233483	0.296499	0.318924	0.216858	0.387738
ZBTB7A	0.649864	0.561018	0.709996	0.56432	0.765518
ZBTB5	0.297837	0.226484	0.402668	0.240827	0.464794
ZBTB48	0.342156	0.281312	0.544396	0.429664	0.386027
ZBTB45	0.196959	0.285864	0.318056	0.325421	0.304534
ZBTB44	0.377424	0.307976	0.337677	0.399762	0.410775
ZBTB43	0.412944	0.373119	0.508936	0.442875	0.445377
ZBTB41	0.424159	0.456533	0.49636	0.506775	0.463026
ZBTB40	0.475458	0.466956	0.679442	0.284964	0.56268
ZBTB4	0.42634	0.549778	0.633468	0.326422	0.488772
ZBTB38	0.466444	0.306192	0.472415	0.477781	0.370142
ZBTB37	0.389413	0.506338	0.460323	0.469428	0.412066
ZBTB34	0.275806	0.211884	0.220503	0.347257	0.386502
ZBTB33	0.388212	0.340027	0.309851	0.354757	0.4142
ZBTB25	0.439953	0.294665	0.334259	0.518837	0.468051
ZBTB24	0.504915	0.425352	0.462209	0.283246	0.490971
ZBTB22	0.465766	0.373264	0.446479	0.380807	0.240852
ZBTB21	0.290129	0.315416	0.452648	0.373598	0.515723
ZBTB20-AS5	0	0.61962	0.677251	0	1.13052
ZBTB20-AS4	0.136336	0	0	0.821906	0.947591
ZBTB20	0.947876	0.653775	0.803673	0.624092	1.04682
ZBTB2	0.262385	0.259459	0.429632	0.387285	0.492479
ZBTB18	0.450074	0.762842	0.401816	0.676854	0.456291
ZBTB17	0.215964	0.218012	0.322078	0.248511	0.387704
ZBTB14	0.456953	0.297285	0.260194	0.251386	0.358284
