GeneID	NAME	WTCa_vs_WT	WT_vs_WTFK	WT_vs_cna1	WT_vs_crz1	WTCa_vs_WTFK	WTCa_vs_cna1	WTCa_vs_crz1	WTFK_vs_cna1	WTFK_vs_crz1	cna1_vs_crz1
CAGL0A00605g	CDH1:Cell-cycle regulated activator of the aphase-promoting complex/cyclosome (APC/C), which directs ubiquitition of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p	0.1222007958	-0.1933478869	-0.1907927743	-0.1397517625	-0.0711470911	-0.0685919785	-0.0175509667000000	0.00255511260000002	0.0535961244	0.0510410118
CAGL0A00627g	ERP6:Protein with similarity to Emp24p and Erv25p, member of the p24 family involved in ER to Golgi transport; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	-0.123132255	-0.1100627165	-0.4391942095	-0.0848611195	-0.2331949715	-0.5623264645	-0.2079933745	-0.329131493	0.0252015969999999	0.35433309
CAGL0A00649g	CAGL0A00649g:	0.0203473592	-0.0226372100000000	-0.0449340637	-0.0562629806	-0.00228985079999997	-0.0245867045000000	-0.0359156214	-0.0222968537	-0.0336257706	-0.0113289168999999
CAGL0A00715g	CAGL0A00715g:	0.122913365	-0.101877876900000	-0.2274131408	0.00649602869999988	0.0210354880999999	-0.1044997758	0.1294093937	-0.1255352639	0.1083739056	0.2339091695
CAGL0A00737g	HXT7:High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels	0.0441206439	-0.1000573647	-0.3567899361	0.0436163176999999	-0.0559367208	-0.3126692922	0.0877369616	-0.2567325714	0.1436736824	0.4004062538
CAGL0A00781g	VPS8:Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	-0.1167733456	0.3583604412	0.3310804229	0.1235250298	0.2415870956	0.2143070773	0.00675168419999999	-0.0272800183000000	-0.2348354114	-0.2075553931
CAGL0A00803g	TFC3:Largest of six subunits of the R polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds D at the BoxB promoter sites of tR and similar genes; cooperates with Tfc6p in D binding	-0.0756595258	-0.0773830354	-0.1077648672	0.0695017218	-0.1530425612	-0.183424393	-0.00615780399999998	-0.0303818318	0.1468847572	0.177266589
CAGL0A00825g	SFH1:Component of the RSC chromatin remodeling complex; essential gene required for cell cycle progression and maintence of proper ploidy; phosphorylated in the G1 phase of the cell cycle; Snf5p paralog	0.130894161	-0.1452169547	-0.1931297975	0.0105203281999999	-0.0143227937	-0.0622356365	0.1414144892	-0.0479128428	0.1557372829	0.2036501257
CAGL0A00847g	TAD3:Subunit of tR-specific adenosine-34 deamise, forms a heterodimer with Tad2p that converts adenosine to inosine at the wobble position of several tRs	0.0901279985	-0.1650717044	-0.6901088848	-0.4605801628	-0.0749437058999999	-0.5999808863	-0.3704521643	-0.5250371804	-0.2955084584	0.229528722
CAGL0A00869g	EST2:Reverse transcriptase subunit of the telomerase holoenzyme, essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia	-0.1724661114	0.1535518174	0.0702229261	0.0944725701000001	-0.018914294	-0.1022431853	-0.0779935413	-0.0833288913	-0.0590792473	0.024249644
CAGL0A00891g	BUD6:Actin- and formin-interacting protein, involved in actin cable nucleation and polarized cell growth; isolated as bipolar budding mutant; potential Cdc28p substrate	0.0771121	-0.0572938246	0.0414372483	-0.00353450920000000	0.0198182754000000	0.1185493483	0.0735775908	0.0987310729	0.0537593154	-0.0449717575
CAGL0A00913g	MMS22:Protein that acts with Mms1p in a repair pathway that may be involved in resolving replication intermediates or preventing the damage caused by blocked replication forks; required for accurate meiotic chromosome segregation	-0.1005887433	0.0742011345	0.1572679885	0.1520145522	-0.0263876088000000	0.0566792452	0.0514258089	0.0830668540000001	0.0778134177000001	-0.00525343630000002
CAGL0A00935g	CWC24:Essential protein, component of a complex containing Cef1p; has similarity to S. pombe Cwf24p	-0.0402192788	0.0101887999000000	-0.0742327897999999	0.1494484501	-0.0300304789000001	-0.1144520686	0.1092291713	-0.0844215897	0.139259650200000	0.2236812399
CAGL0A00957g	PEX30:Peroxisomal integral membrane protein, involved in negative regulation of peroxisome number; partially functiolly redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p	-0.0496051936999999	0.168970542	0.3437107827	0.0997764271	0.1193653483	0.294105589	0.0501712333999999	0.1747402407	-0.0691941149	-0.2439343556
CAGL0A00979g	RPL38:Protein component of the large (60S) ribosomal subunit, has similarity to rat L38 ribosomal protein	-0.1223463254	0.0686786893000002	-0.103196657900000	-0.0131206847999997	-0.0536676360999999	-0.225542983300000	-0.135467010200000	-0.1718753472	-0.0817993740999998	0.0900759731000001
CAGL0A01001g	CAGL0A01001g:	0.000520976699999996	0.0151749124	0.0452029457	0.1413642386	0.0156958891000000	0.0457239224	0.1418852153	0.0300280333	0.1261893262	0.0961612929
CAGL0A01023g	NMA1:Nicotinic acid mononucleotide adenylyltransferase, involved in pathways of D biosynthesis, including the de novo, D(+) salvage, and nicotimide riboside salvage pathways	0.2644131832	-0.2521069908	-0.468121819	0.130299245	0.0123061924000000	-0.2037086358	0.3947124282	-0.216014828200000	0.3824062358	0.598421064
CAGL0A01045g	FUM1:Fumarase, converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-termil targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria	-0.0674465053	0.172855746	0.3317676864	0.0642122808	0.1054092407	0.2643211811	-0.00323422450000001	0.1589119404	-0.1086434652	-0.2675554056
CAGL0A01067g	KEL3:	0.148960585	-0.1128862828	-0.1869056445	0.0478868468	0.0360743022	-0.0379450595	0.1968474318	-0.0740193617	0.1607731296	0.2347924913
CAGL0A01089g	CAGL0A01089g:	-0.2519314028	0.7417785087	0.3150692544	1.2900612751	0.489847105900000	0.0631378515999997	1.0381298723	-0.4267092543	0.548282766400001	0.9749920207
CAGL0A01111g	ATP15:Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutiorily conserved enzyme complex required for ATP synthesis; phosphorylated	0.0151593835999999	-0.2974739721	0.0133426004000000	0.1123209258	-0.2823145885	0.028501984	0.1274803094	0.3108165725	0.4097948979	0.0989783254
CAGL0A01133g	MDL2:Mitochondrial inner membrane half-type ATP-binding cassette (ABC) transporter	0.1818171225	-0.0510124243	-0.0109915678	-0.0152574614	0.1308046982	0.1708255547	0.1665596611	0.0400208565	0.0357549629	-0.00426589360000000
CAGL0A01155g	KAR9:Karyogamy protein required for correct positioning of the mitotic spindle and for orienting cytoplasmic microtubules, localizes at the shmoo tip in mating cells and at the tip of the growing bud in small-budded cells through aphase	0.0612314577	-0.4935651876	-0.4215894025	0.0526474792999999	-0.4323337299	-0.3603579448	0.113878937000000	0.0719757851	0.5462126669	0.4742368818
CAGL0A01177g	PLC1:Phospholipase C, hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the sigling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes	-0.0199919789	-0.1009489588	-0.1918285326	-0.096647462	-0.1209409377	-0.2118205115	-0.1166394409	-0.0908795738	0.00430149679999998	0.0951810706
CAGL0A01199g	DIP5:Dicarboxylic amino acid permease, mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly	0.374690445	-0.2731554707	-0.7174128791	0.4343449818	0.101534974300000	-0.3427224341	0.8090354268	-0.4442574084	0.7075004525	1.1517578609
CAGL0A01221g	AQY1:Spore-specific water channel that mediates the transport of water across cell membranes, developmentally controlled; may play a role in spore maturation, probably by allowing water outflow, may be involved in freeze tolerance	0.2313289946	-0.2891947884	-0.7529105078	0.2495270928	-0.0578657938	-0.5215815132	0.4808560874	-0.4637157194	0.5387218812	1.0024376006
CAGL0A01243g	GIT1:Plasma membrane permease, mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability	-0.6117152835	0.0604439131000001	0.0429922667000003	0.7461175387	-0.5512713704	-0.5687230168	0.1344022552	-0.0174516463999999	0.6856736256	0.703125272
CAGL0A01265g	CAGL0A01265g:Unknown	-0.1246740103	0.1253240331	0.1654277772	0.0286879749	0.00065002280000002	0.0407537668999999	-0.0959860354	0.0401037441000000	-0.0966360582	-0.1367398023
CAGL0A01276g	CAGL0A01276g:Unknown	-0.00480769689999998	-0.018226872	0.0555190315	0.0528457381	-0.0230345689	0.0507113346	0.0480380412	0.0737459035	0.0710726101	-0.00267329339999999
CAGL0A01364g	CAGL0A01364g:Unknown	-0.0788807516	0.1288081879	0.1095945186	0.1884577109	0.0499274363	0.030713767	0.1095769593	-0.0192136692999999	0.0596495230000001	0.0788631923
CAGL0A01386g	CAGL0A01386g:Unknown	-0.2127459515	0.1477015148	0.397209091	0.0543851582	-0.0650444367	0.1844631395	-0.1583607933	0.2495075762	-0.0933163566	-0.3428239328
CAGL0A01408g	PGD1:Subunit of the R polymerase II mediator complex; associates with core polymerase subunits to form the R polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptiol corepressor	-0.0174591574000000	-0.0203734888999999	0.0817901217	0.0913157673	-0.0378326463	0.0643309643	0.0738566099	0.1021636106	0.1116892562	0.00952564560000003
CAGL0A01430g	TRP5:Tryptophan synthase involved in tryptophan biosynthesis, regulated by the general control system of amino acid biosynthesis	0.3212152095	-0.1068015505	0.0410766024999999	-0.081955731	0.214413659	0.362291812	0.2392594785	0.147878153	0.0248458195	-0.1230323335
CAGL0A01452g	CWH41:Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress	0.1068521536	0.038375225	-0.111999466	-0.0179181909	0.1452273786	-0.0051473124	0.0889339627	-0.150374691	-0.0562934159	0.0940812751
CAGL0A01474g	SCW11:Cell wall protein with similarity to glucases; may play a role in conjugation during mating based on its regulation by Ste12p	-0.2140091581	0.1423995728	0.4512881563	0.1483998198	-0.0716095853	0.2372789982	-0.0656093383	0.3088885835	0.00600024699999991	-0.3028883365
CAGL0A01540g	RPL30:Protein component of the large (60S) ribosomal subunit, has similarity to rat L30 ribosomal protein; involved in pre-rR processing in the nucleolus; autoregulates splicing of its transcript	0.1472241115	-0.0425150083	-0.0879067159	-0.00508240129999999	0.1047091032	0.0593173956	0.1421417102	-0.0453917076	0.037432607	0.0828243146
CAGL0A01562g	RPL24B:Ribosomal protein L30 of the large (60S) ribosomal subunit, nearly identical to Rpl24Ap and has similarity to rat L24 ribosomal protein; not essential for translation but may be required for normal translation rate	0.0908385432	-0.0352429320999999	0.0525484184000001	0.0202449149000001	0.0555956111	0.1433869616	0.1110834581	0.0877913505000001	0.0554878470000001	-0.0323035034999999
CAGL0A01584g	AGA2:Adhesion subunit of a-agglutinin of a-cells, C-termil sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutition, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds	-0.3204855297	0.6717176838	0.594506696	0.502779289	0.3512321541	0.2740211663	0.1822937593	-0.0772109878	-0.1689383948	-0.0917274069999999
CAGL0A01606g	HOP2:Meiosis-specific protein that localizes to chromosomes, preventing sypsis between nonhomologous chromosomes and ensuring sypsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair	0.0448700834	-0.250328146	-0.5756339753	-0.0270736723000000	-0.2054580626	-0.5307638919	0.0177964111000000	-0.3253058293	0.2232544737	0.548560303
CAGL0A01628g	MIG1:Transcription factor involved in glucose repression; sequence specific D binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kise and the GLC7 phosphatase	0.1273121755	-0.3186736408	-0.4543522619	-0.2214563998	-0.1913614653	-0.3270400864	-0.0941442243	-0.1356786211	0.097217241	0.2328958621
CAGL0A01650g	CAGL0A01650g:	0.5594814743	-0.8411904299	-0.5753775698	-0.2381911785	-0.2817089556	-0.0158960955	0.3212902958	0.2658128601	0.6029992514	0.3371863913
CAGL0A01672g	SEC9:t-SRE protein important for fusion of secretory vesicles with the plasma membrane; similar to but not functiolly redundant with Spo20p; SP-25 homolog	0.0142174209	0.0196907918000000	0.0971140971	-0.00209430000000003	0.0339082127	0.111331518	0.0121231209000000	0.0774233053	-0.0217850918	-0.0992083971
CAGL0A01694g	CAGL0A01694g:	-0.0699546961	0.2617982483	0.4414619368	0.3398249388	0.1918435522	0.3715072407	0.2698702427	0.1796636885	0.0780266905	-0.101636998
CAGL0A01716g	PNC1:Nicotimidase that converts nicotimide to nicotinic acid as part of the D(+) salvage pathway, required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span	-0.6449984092	0.7218242046	1.2535273446	0.0731465116	0.0768257953999998	0.6085289354	-0.5718518976	0.53170314	-0.648677693	-1.180380833
CAGL0A01738g	OCH1:Mannosyltransferase of the cis-Golgi apparatus, initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins	0.2611606075	0.0947570347	0.1950505688	-0.353312417	0.3559176422	0.4562111763	-0.0921518095	0.1002935341	-0.4480694517	-0.5483629858
CAGL0A01760g	CAGL0A01760g:Arginyl-tR synthetase, proposed to be cytoplasmic but the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	0.0763261968	-0.00620302920000005	0.1094619488	0.0507706096999999	0.0701231676	0.1857881456	0.1270968065	0.115664978	0.0569736389	-0.0586913391
CAGL0A01782g	HXT7:High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels	0.2795848544	-0.0566645308000001	-0.3508740808	0.0600072794999999	0.2229203236	-0.0712892264	0.3395921339	-0.29420955	0.1166718103	0.4108813603
CAGL0A01804g	HXT7:High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels	1.020162812	0.0589684953	-0.3559831517	-0.2269073751	1.0791313073	0.6641796603	0.7932554369	-0.414951647	-0.2858758704	0.1290757766
CAGL0A01826g	HXT7:High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels	0.190751358	-0.0451155516999999	-0.0220411880999999	-0.0331768342	0.1456358063	0.1687101699	0.1575745238	0.0230743636	0.0119387175000000	-0.0111356461000000
CAGL0A01848g	SFB3:Member of the Sec24p family; forms a complex, with Sec23p, that is involved in sorting of Pma1p into COPII vesicles; peripheral ER membrane protein; potential Cdc28p substrate	0.0523518926000001	0.0618531957	0.1976686932	-0.0812452288	0.1142050883	0.2500205858	-0.0288933362	0.1358154975	-0.1430984245	-0.278913922
CAGL0A01870g	CAGL0A01870g:	-0.11848577600	0.433599574900000	0.7373571211	0.174306226500000	0.3151137989	0.6188713451	0.0558204504999999	0.3037575462	-0.2592933484	-0.5630508946
CAGL0A01892g	CAGL0A01892g:	-0.1782397193	0.258130792	0.192392726300000	0.0345498453999998	0.0798910726999999	0.0141530069999999	-0.1436898739	-0.0657380657000002	-0.2235809466	-0.1578428809
CAGL0A01914g	TRA1:Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation	0.059928235209241	-0.100634195	0.132923458109241	0.0914128106	-0.040705959790759	0.192851693318482	0.151341045809241	0.233557653109241	0.1920470056	-0.0415106475092409
CAGL0A01958g	CAGL0A01958g:	0.0567853841	-0.0430814507	-0.2628980207	-0.0860498115	0.0137039334000000	-0.2061126366	-0.0292644274	-0.21981657	-0.0429683608000001	0.1768482092
CAGL0A01980g	IFM1:Mitochondrial translation initiation factor 2	0.1370466751	-0.0862622610000001	-0.115743509100000	-0.2034809103	0.0507844141	0.0213031659999999	-0.0664342352	-0.0294812481000001	-0.1172186493	-0.0877374012
CAGL0A02002g	CAGL0A02002g:	-1.7730880985	1.2902613166	2.6423981993	-0.7783287399	-0.4828267819	0.8693101008	-2.5514168384	1.3521368827	-2.0685900565	-3.4207269392
CAGL0A02024g	LAG2:Protein involved in determition of longevity; LAG2 gene is preferentially expressed in young cells; overexpression extends the mean and maximum life span of cells	-0.2428638301	0.1984213102	0.7236046984	-0.172621430200000	-0.0444425199000001	0.4807408683	-0.4154852603	0.5251833882	-0.3710427404	-0.8962261286
CAGL0A02046g	ROD1:Membrane protein that binds the ubiquitin ligase Rsp5p via its 2 PY motifs; overexpression confers resistance to the GST substrate o-dinitrobenzene,zinc, and calcium; proposed to regulate the endocytosis of plasma membrane proteins	0.0613465908	0.194940822	0.142107873900000	-0.2373922506	0.2562874128	0.2034544647	-0.1760456598	-0.0528329481000001	-0.4323330726	-0.3795001245
CAGL0A02090g	CAGL0A02090g:	0.2058169183	-0.1370047038	-0.1217150872	0.2108835718	0.0688122145	0.0841018311	0.4167004901	0.0152896166000001	0.3478882756	0.332598659
CAGL0A02112g	DED81:Cytosolic asparaginyl-tR synthetase, required for protein synthesis, catalyzes the specific attachment of asparagine to its cogte tR	0.3709629703	-0.1899528903	-0.1936847407	0.1748054243	0.18101008	0.1772782296	0.5457683946	-0.00373185039999994	0.3647583146	0.368490165
CAGL0A02134g	YSC83:	0.0204562459000000	-0.0150528732000000	-0.0156938752	-0.1045257442	0.0054033727	0.0047623707	-0.0840694983	-0.000641002000000025	-0.089472871	-0.088831869
CAGL0A02145g	YSC84:Actin-binding protein involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p	-0.11698914	-0.04502405	-0.0349434733000000	0.0317387657999999	-0.16201319	-0.1519326133	-0.0852503742	0.0100805766999999	0.0767628157999999	0.0666822391
CAGL0A02189g	CAGL0A02189g:Arginyl-tR synthetase, proposed to be cytoplasmic but the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	0.274831601	-0.0977801638	-0.150628771	-0.0890272522	0.1770514372	0.12420283	0.1858043488	-0.0528486072	0.0087529116	0.0616015188
CAGL0A02211g	HXT7:High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels	0.180594937100000	-0.5457161268	-0.7671039828	0.1864776882	-0.3651211897	-0.5865090457	0.3670726253	-0.221387856	0.732193815	0.953581671
CAGL0A02233g	HXT6:High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3	0.1880664187	-0.5377262644	-0.8018406461	0.1354255827	-0.3496598457	-0.6137742274	0.3234920014	-0.2641143817	0.6731518471	0.9372662288
CAGL0A02277g	CAGL0A02277g:	0.5670217931	0.1530682957	0.000112289399999987	-0.031344843	0.7200900888	0.5671340825	0.5356769501	-0.1529560063	-0.1844131387	-0.0314571324
CAGL0A02299g	CAGL0A02299g:	0.6496680401	0.8335897645	1.3782199391	-0.079580987	1.4832578046	2.0278879792	0.5700870531	0.5446301746	-0.9131707515	-1.4578009261
CAGL0A02321g	HXT3:Low affinity glucose transporter of the major facilitator superfamily, expression is induced in low or high glucose conditions	1.2539180756	-0.1698573921	-0.4833580036	-0.7606943412	1.0840606835	0.770560072	0.4932237344	-0.3135006115	-0.5908369491	-0.2773363376
CAGL0A02343g	CAGL0A02343g:	0.0454290817	0.073206066	-0.0633950149	0.1571490701	0.1186351477	-0.0179659331999999	0.2025781518	-0.1366010809	0.0839430041	0.220544085
CAGL0A02365g	SVF1:Protein with a potential role in cell survival pathways, required for the diauxic growth shift; expression in mammalian cells increases survival under conditions inducing apoptosis	0.3687358276	-0.0169152715000000	-0.1901464754	-0.225546465	0.3518205561	0.1785893522	0.1431893626	-0.1732312039	-0.2086311935	-0.0353999895999999
CAGL0A02387g	MRP1:Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translatiol activator, and with PET123, encoding a small subunit mitochondrial ribosomal protein	0.1291370024	-0.174332165	0.0852449833	0.0273953551000001	-0.0451951626	0.2143819857	0.1565323575	0.2595771483	0.2017275201	-0.0578496282
CAGL0A02409g	CAGL0A02409g:	-0.1101488068	-0.0202471289000000	0.0269062615000000	0.1771985416	-0.1303959357	-0.0832425452999999	0.0670497348	0.0471533904	0.1974456705	0.1502922801
